Location;Name;Frequency;Duplex;Offset;Tone;rToneFreq;cToneFreq;DtcsCode;DtcsPolarity;Mode;TStep;Skip;Comment;URCALL;RPT1CALL;RPT2CALL;
1;PMR 1;446.006250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
2;PMR 2;446.018750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
3;PMR 3;446.031250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
4;PMR 4;446.043750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
5;PMR 5;446.056250;;0.600000;;88.5;88.5;23;NN;NFM;6.25;;;;;;
6;PMR 6;446.068750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
7;PMR 7;446.081250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
8;PMR 8;446.093750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
9;PMR  9;446.106250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
10;PMR 10;446.118750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
11;PMR 11;446.131250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
12;PMR 12;446.143750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
13;PMR 13;446.156250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
14;PMR 14;446.168750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
15;PMR 15;446.181250;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
16;PMR 16;446.193750;;0.600000;;88.5;88.5;23;NN;FM;6.25;;;;;;
